year,size_GB,freq
2006,0.001,3
2006,0.01,6
2006,0.1,15
2006,1,12
2006,10,25
2006,100,12
2006,1000,15
2006,Inf,12
2007,0.001,6
2007,0.01,12
2007,0.1,8
2007,1,22
2007,10,32
2007,100,35
2007,1000,21
2007,10000,22
2007,Inf,15
2008,0.001,3
2008,0.01,3
2008,0.1,8
2008,1,10
2008,10,28
2008,100,17
2008,1000,16
2008,10000,6
2008,Inf,9
2009,0.001,3
2009,0.01,5
2009,0.1,6
2009,1,10
2009,10,25
2009,100,19
2009,1000,16
2009,10000,9
2009,Inf,6
2010,0.001,5
2010,0.01,6
2010,0.1,8
2010,1,12
2010,10,23
2010,100,13
2010,1000,14
2010,10000,10
2010,100000,2
2010,1000000,2
2010,Inf,4
2011,0.001,2.5
2011,0.01,4
2011,0.1,8
2011,1,12.5
2011,10,20
2011,100,17.5
2011,1000,15
2011,10000,10
2011,100000,4
2011,1000000,2.5
2011,Inf,4
2012,0.001,2
2012,0.01,3
2012,0.1,7
2012,1,13
2012,10,15.5
2012,100,20.5
2012,1000,14
2012,10000,9
2012,100000,4
2012,1000000,2
2012,10000000,0.5
2012,100000000,0.1
2012,Inf,3
2013,0.001,3.7
2013,0.01,2.5
2013,0.1,4.3
2013,1,15.5
2013,10,18
2013,100,16
2013,1000,18
2013,10000,12
2013,100000,4.7
2013,1000000,1.9
2013,10000000,0.6
2013,100000000,0
2013,Inf,1.9
2014,0.001,13
2014,0.01,18
2014,0.1,25
2014,1,39
2014,10,86
2014,100,69
2014,1000,58
2014,10000,46
2014,100000,21
2014,1000000,5
2014,10000000,0
2014,100000000,3
2014,Inf,9
2015,0.001,9
2015,0.01,19
2015,0.1,16
2015,1,55
2015,10,90
2015,100,80
2015,1000,85
2015,10000,52
2015,100000,21
2015,1000000,11
2015,10000000,4
2015,100000000,5
2015,Inf,12
